code;pairCode;name;adult;
"OBJ-E40";;"Keramická objímka E-40";"0";
"LEP-D VELKE";;"luté lepové desky na škùdce  5ks";"0";
"ATA-TAB";;"Atami B'cuzz Tablety na kvìt 1ks";"0";
"ATA-PK1";"1";"Atami Ata PK 13-14 doplnìk do kvìtu";"0";
"ATA-PK10";"1";"Atami Ata PK 13-14 doplnìk do kvìtu";"0";
"ATA-PK5";"1";"Atami Ata PK 13-14 doplnìk do kvìtu";"0";
"26466";"2";"Atami B'cuzz Soil (pùda) Booster";"0";
"ATA-SB1";"2";"Atami B'cuzz Soil (pùda) Booster";"0";
"ATA-SB5";"2";"Atami B'cuzz Soil (pùda) Booster";"0";
"20950";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-RT05";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-RT1";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-RT10";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-RT20";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-RT5";"3";"Hesi Root Complex koøenovı stimulátor";"0";
"HES-TNT05";"4";"Hesi TNT Complex - rùstové hnojivo";"0";
"HES-TNT1";"4";"Hesi TNT Complex - rùstové hnojivo";"0";
"HES-TNT10";"4";"Hesi TNT Complex - rùstové hnojivo";"0";
"HES-TNT20";"4";"Hesi TNT Complex - rùstové hnojivo";"0";
"HES-TNT5";"4";"Hesi TNT Complex - rùstové hnojivo";"0";
"HES-PK05";"5";"Hesi PK 13/14 organické hnojivo na kvìt";"0";
"HES-PK1";"5";"Hesi PK 13/14 organické hnojivo na kvìt";"0";
"HES-PK10";"5";"Hesi PK 13/14 organické hnojivo na kvìt";"0";
"HES-PK20";"5";"Hesi PK 13/14 organické hnojivo na kvìt";"0";
"HES-PK5";"5";"Hesi PK 13/14 organické hnojivo na kvìt";"0";
"HES-PH05";"6";"Hesi Fosfor Plus - fosfor+draslík pro kvìt";"0";
"HES-PH1";"6";"Hesi Fosfor Plus - fosfor+draslík pro kvìt";"0";
"HES-PH10";"6";"Hesi Fosfor Plus - fosfor+draslík pro kvìt";"0";
"HES-PH20";"6";"Hesi Fosfor Plus - fosfor+draslík pro kvìt";"0";
"HES-PH5";"6";"Hesi Fosfor Plus - fosfor+draslík pro kvìt";"0";
"HES-HY-BL1";"7";"Hesi Hydro Bloom - Kvìt, hnojivo pro hydroponické systémy";"0";
"HES-HY-BL10";"7";"Hesi Hydro Bloom - Kvìt, hnojivo pro hydroponické systémy";"0";
"HES-HY-BL20";"7";"Hesi Hydro Bloom - Kvìt, hnojivo pro hydroponické systémy";"0";
"HES-HY-BL5";"7";"Hesi Hydro Bloom - Kvìt, hnojivo pro hydroponické systémy";"0";
"HES-HY-GR1";"8";"Hesi Hydro Growth - Rùst, hnojivo pro hydroponické systémy";"0";
"HES-HY-GR10";"8";"Hesi Hydro Growth - Rùst, hnojivo pro hydroponické systémy";"0";
"HES-HY-GR20";"8";"Hesi Hydro Growth - Rùst, hnojivo pro hydroponické systémy";"0";
"HES-HY-GR5";"8";"Hesi Hydro Growth - Rùst, hnojivo pro hydroponické systémy";"0";
"20953";"9";"Hesi Power Zyme enzymy";"0";
"HES-PZ05";"9";"Hesi Power Zyme enzymy";"0";
"HES-PZ1";"9";"Hesi Power Zyme enzymy";"0";
"HES-PZ10";"9";"Hesi Power Zyme enzymy";"0";
"HES-PZ5";"9";"Hesi Power Zyme enzymy";"0";
"HES-SV001";"10";"Hesi Super Vit rùst a kvetení stimultaor";"0";
"HES-SV005";"10";"Hesi Super Vit rùst a kvetení stimultaor";"0";
"HES-SV100";"10";"Hesi Super Vit rùst a kvetení stimultaor";"0";
"HES-SV500";"10";"Hesi Super Vit rùst a kvetení stimultaor";"0";
"11788/10L";"11";"Biobizz Top Max - biologickı kvìtovı stimulátor";"0";
"20998";"11";"Biobizz Top Max - biologickı kvìtovı stimulátor";"0";
"BB-TM05";"11";"Biobizz Top Max - biologickı kvìtovı stimulátor";"0";
"BB-TM1";"11";"Biobizz Top Max - biologickı kvìtovı stimulátor";"0";
"TOP 5L MAX";"11";"Biobizz Top Max - biologickı kvìtovı stimulátor";"0";
"20992";"12";"Biobizz Bio-Bloom - biologické hnojivo pro kvìt";"0";
"BB-BB05";"12";"Biobizz Bio-Bloom - biologické hnojivo pro kvìt";"0";
"BB-BB1";"12";"Biobizz Bio-Bloom - biologické hnojivo pro kvìt";"0";
"BB-BB10";"12";"Biobizz Bio-Bloom - biologické hnojivo pro kvìt";"0";
"BB-BB5";"12";"Biobizz Bio-Bloom - biologické hnojivo pro kvìt";"0";
"20995";"13";"Biobizz Bio-Grow - biologické hnojivo pro rùst";"0";
"BB-BG05";"13";"Biobizz Bio-Grow - biologické hnojivo pro rùst";"0";
"BB-BG1";"13";"Biobizz Bio-Grow - biologické hnojivo pro rùst";"0";
"BB-BG10";"13";"Biobizz Bio-Grow - biologické hnojivo pro rùst";"0";
"BB-BG5";"13";"Biobizz Bio-Grow - biologické hnojivo pro rùst";"0";
"20803";"14";"Biobizz Fish Mix - postøikovat na list v rùstu";"0";
"BB-FM05";"14";"Biobizz Fish Mix - postøikovat na list v rùstu";"0";
"BB-FM1";"14";"Biobizz Fish Mix - postøikovat na list v rùstu";"0";
"BB-FM5";"14";"Biobizz Fish Mix - postøikovat na list v rùstu";"0";
"FISH250M";"14";"Biobizz Fish Mix - postøikovat na list v rùstu";"0";
"11818/20L";"15";"Plagron Terra Grow";"0";
"PLA-TG01";"15";"Plagron Terra Grow";"0";
"PLA-TG1";"15";"Plagron Terra Grow";"0";
"PLA-TG10";"15";"Plagron Terra Grow";"0";
"PLA-TG5";"15";"Plagron Terra Grow";"0";
"11821/20L";"16";"Plagron Terra Bloom";"0";
"PLA-TB1";"16";"Plagron Terra Bloom";"0";
"PLA-TB10";"16";"Plagron Terra Bloom";"0";
"PLA-TB5";"16";"Plagron Terra Bloom";"0";
"PLA-BT1";"17";"Plagron Bat Guano";"0";
"PLA-BT5";"17";"Plagron Bat Guano";"0";
"PLA-CAB1";;"Plagron Cocos A+B 1l hnojivo pro kokos";"0";
"AH-BL 5";"18";"Hnojivo Advanced Hydroponics grow";"0";
"AH-BL05";"18";"Hnojivo Advanced Hydroponics grow";"0";
"AH-BL1";"18";"Hnojivo Advanced Hydroponics grow";"0";
"AH-BL10";"18";"Hnojivo Advanced Hydroponics grow";"0";
"AH-BL25";"18";"Hnojivo Advanced Hydroponics grow";"0";
"AH-GR05";"19";"Hnojivo Advanced Hydroponics Grow";"0";
"AH-GR1";"19";"Hnojivo Advanced Hydroponics Grow";"0";
"AH-GR10";"19";"Hnojivo Advanced Hydroponics Grow";"0";
"AH-GR25";"19";"Hnojivo Advanced Hydroponics Grow";"0";
"AH-GR5";"19";"Hnojivo Advanced Hydroponics Grow";"0";
"AH-MI05";"20";"Hnojivo Advanced Hydroponics Micro";"0";
"AH-MI1";"20";"Hnojivo Advanced Hydroponics Micro";"0";
"AH-MI10";"20";"Hnojivo Advanced Hydroponics Micro";"0";
"AH-MI25";"20";"Hnojivo Advanced Hydroponics Micro";"0";
"AH-MI5";"20";"Hnojivo Advanced Hydroponics Micro";"0";
"AH-RS025";"21";"Advanced Hydroponics Root Stimulator";"0";
"AH-RS05";"21";"Advanced Hydroponics Root Stimulator";"0";
"AH-RS1";"21";"Advanced Hydroponics Root Stimulator";"0";
"AH-RS5";"21";"Advanced Hydroponics Root Stimulator";"0";
"AH-GBE025";"22";"Advanced Hydroponics Growth/Bloom Excellarator";"0";
"AH-GBE05";"22";"Advanced Hydroponics Growth/Bloom Excellarator";"0";
"AH-GBE1";"22";"Advanced Hydroponics Growth/Bloom Excellarator";"0";
"AH-GBE5";"22";"Advanced Hydroponics Growth/Bloom Excellarator";"0";
"AH-E025";"23";"Advanced Hydroponics Enzymes na vyèištìní";"0";
"AH-E05";"23";"Advanced Hydroponics Enzymes na vyèištìní";"0";
"AH-E1";"23";"Advanced Hydroponics Enzymes na vyèištìní";"0";
"AH-E5";"23";"Advanced Hydroponics Enzymes na vyèištìní";"0";
"AH-FS025";"24";"Advanced Hydroponics Final Solution";"0";
"AH-FS05";"24";"Advanced Hydroponics Final Solution";"0";
"AH-FS1";"24";"Advanced Hydroponics Final Solution";"0";
"AH-FS5";"24";"Advanced Hydroponics Final Solution";"0";
"MET-CG1";"25";"Metrop Calgreen";"0";
"MET-CG5";"25";"Metrop Calgreen";"0";
"MET-MR11";"26";"Metrop MR1";"0";
"MET-MR15";"26";"Metrop MR1";"0";
"11893/10L";"27";"GHE Ripen pro poslední fázi kveteni";"0";
"GH-RI05";"27";"GHE Ripen pro poslední fázi kveteni";"0";
"GH-RI1";"27";"GHE Ripen pro poslední fázi kveteni";"0";
"GH-RI5";"27";"GHE Ripen pro poslední fázi kveteni";"0";
"600GIB-GS";;"Vıbojky  GIB Growth Spectre MH 600W";"0";
"600PLAN";;"VİBOJKY Osram Plantastar 600W dual";"0";
"600SUN-MH";;"Vıbojky  Sunmaster MH 600W growth";"0";
"HS-S";;"Heatshield/tepelnı štít malı";"0";
"HS-L";;"Heatshield/tepelnı štít velkı";"0";
"VEN-TT125";;"Ventilátor TT 125 220/280 m3/h";"0";
"ALU50";;"Páska na lepení folií hliníková";"0";
"ROZ-MIL-EC";;"Milwaukee kalibrovací roztok EC 20ml";"0";
"ROZ-MIL-PH4";;"Milwaukee kalibrovací roztok Ph4 20ml";"0";
"ROZ-MIL-PH7";;"Milwaukee kalibrovací roztok ph7 20ml";"0";
"F-DIA";;"Folie Diamantová reflect A-gro 1,4 X 1 m";"0";
"F-ZAH";;"Folie zahradnická bílá 320 X 100 cm";"0";
"SIT12";;"Opìrná sí Marnet 1,2 x 5 m";"0";
"HAD-16";;"Hadice pro tlakovou závlahu 16mm";"0";
"HAD-20";;"Hadice na tlakovou závlahu 20mm";"0";
"K-16";;"Koleno L-spoj pro hadici O16mm";"0";
"K-20";;"Koleno L-spoj pro hadici O20mm";"0";
"T-16";;"T spoj pro hadici O16mm";"0";
"T-2O";;"T spoj pro hadici O20mm";"0";
"V-16";;"Regulaèní ventil O16mm";"0";
